,STN_ID,Long,Lat
0,90,128.56473,38.25085
1,93,127.75443,37.94738
2,95,127.3042,38.14787
3,98,127.0607,37.90188
4,99,126.76648,37.88589
5,100,128.71834,37.67713
6,101,127.7357,37.90262
7,102,124.71237,37.97396
8,104,128.85535,37.80456
9,105,128.89099,37.75147
10,106,129.12433,37.50709
11,108,126.9658,37.57142
12,112,126.6249,37.47772
13,114,127.94659,37.33749
14,115,130.89863,37.48129
15,119,126.983,37.25746
16,121,128.45743,37.18126
17,127,127.9525,36.97045
18,129,126.4939,36.77658
19,130,129.41278,36.99176
20,131,127.44066,36.63924
21,133,127.3721,36.37199
22,135,127.99458,36.22025
23,136,128.70733,36.57293
24,137,128.15741,36.40837
25,138,129.38002,36.03201
26,140,126.76135,36.0053
27,143,128.65296,35.87797
28,146,127.11718,35.84092
29,152,129.33469,35.58237
30,155,128.57282,35.17019
31,156,126.89156,35.17294
32,159,129.03203,35.10468
33,162,128.43561,34.84541
34,165,126.38151,34.81732
35,168,127.74063,34.73929
36,169,125.45105,34.68719
37,170,126.70182,34.3959
38,172,126.599,35.34824
39,174,127.3694,35.0204
40,177,126.68772,36.65759
41,181,127.396944,36.63972
42,184,126.52969,33.51411
43,185,126.16283,33.29382
44,188,126.8802,33.38677
45,189,126.5653,33.24616
46,192,128.04004,35.16378
47,201,126.44634,37.70739
48,202,127.49446,37.48863
49,203,127.48421,37.26399
50,211,128.16714,38.05986
51,212,127.88043,37.6836
52,216,128.98929,37.17038
53,217,128.6459,37.38149
54,221,128.19433,37.15928
55,226,127.73415,36.48761
56,232,127.29282,36.76217
57,235,126.55744,36.32724
58,236,126.92079,36.27242
59,238,127.48175,36.10563
60,239,127.24438,36.48522
61,243,126.71657,35.72961
62,244,127.28556,35.61203
63,245,126.83904,35.56337
64,247,127.39652,35.4213
65,248,127.52031,35.65696
66,251,126.697,35.42661
67,252,126.47784,35.28366
68,253,128.89075,35.22981
69,254,127.1286,35.37131
70,255,128.6726,35.22655
71,257,129.02009,35.30737
72,258,127.21226,34.76335
73,259,126.78408,34.64457
74,260,126.91951,34.68886
75,261,126.56907,34.55375
76,262,127.27572,34.61826
77,263,128.28812,35.32258
78,264,127.74538,35.51138
79,266,127.6914,34.9434
80,268,126.25846,34.47296
81,271,128.91449,36.94361
82,272,128.51687,36.87183
83,273,128.14879,36.62727
84,276,129.04005,36.4351
85,277,129.40926,36.53337
86,278,128.68864,36.3561
87,279,128.32055,36.13055
88,281,128.9514,35.97742
89,283,129.2009,35.8174
90,284,127.9099,35.66739
91,285,128.16994,35.56505
92,288,128.74412,35.49147
93,289,127.8791,35.413
94,294,128.60459,34.88818
95,295,127.92641,34.81662
